of	0.35711816	-0.34740737	0.74091995	-0.20932855	-0.10479042	-0.6093348	0.33193615	0.22787234	0.753977	-0.752438	-0.3856482	0.30355036	0.5157748	-0.5825337	-0.17599411	0.1864911	-0.5749979	-0.021883294	-0.102609046	-0.13074842	0.18689811	-0.46757147	0.8390385	0.2999704	0.12396957	-0.82251906	1.2342001	-0.28558666	-0.33171093	0.036073275	0.47033933	-0.07350333	0.09750554	0.31041718	-0.32015178	-0.111340486	0.13106346	-0.5830412	-1.2738925	-1.1964769	0.037512064	-0.45727822	-0.06297352	0.558409	0.40703526	-0.08602309	-0.08860199	0.7104497	-0.55906683	0.058462795
said	0.74917495	-0.4728537	0.5563667	-0.10851167	-0.32457852	-0.67000175	0.33973157	0.29635224	0.95220745	-0.54530215	-0.3523709	0.15307982	0.43569925	-0.3167419	-0.29132733	0.069827124	-0.7036859	-0.21027279	0.17609435	-0.045838796	-0.13604042	-0.46819133	1.0706773	0.46753564	0.062493235	-0.6806959	1.2241197	-0.13337532	0.091104664	0.090557516	0.5889176	-0.08097991	0.25936386	0.37838483	-0.41919863	-0.049623493	0.17849374	-0.6431293	-1.0658518	-0.98764855	0.1306772	-0.0738302	-0.44352782	0.6057849	0.37629503	-0.1569846	0.013207018	0.85748553	-0.26784927	0.0413201
!	0.70647365	-0.39447352	0.557987	-0.07886595	-0.30724043	-0.519827	0.34871787	0.40555292	0.8212826	-0.5000577	-0.17404753	0.2656536	0.6113205	-0.5001224	-0.23638797	-0.01965981	-0.5495681	-0.16589214	0.14206587	-0.11272535	0.16961621	-0.24292111	0.95453435	0.48531964	0.07894476	-0.7397312	1.2130319	0.0071973912	-0.13479412	0.107427955	0.49549276	-0.025872104	0.062889986	0.44494632	-0.20862222	-0.20142537	0.1935768	-0.7255395	-1.0264732	-0.98827124	0.20815268	-0.15269566	-0.20777865	0.8860091	0.3383211	-0.2839556	0.019856632	0.7747741	-0.2276572	-0.18804237
you	0.5678536	-0.4987186	0.40167794	-0.12890409	-0.29622003	-0.5819377	0.09882069	0.61239547	0.8510177	-0.4486127	-0.055593878	0.19594541	0.3796604	-0.24979341	-0.026667941	-0.064350486	-0.57666117	-0.40018487	0.42496425	-0.08194073	0.04330852	-0.47910228	0.8140281	0.2516019	-0.18096696	-0.9202093	1.147261	-0.28873444	-0.015946314	-0.0652847	0.6778702	0.035931006	0.13904992	0.5763965	-0.33491606	-0.09853971	0.065656364	-0.9579345	-0.6733636	-1.1406893	0.4507995	-0.07050857	-0.50435024	0.59118205	0.49732646	-0.43555215	-0.20615079	0.78709114	-0.45172945	-0.05473426
alice	0.7165467	-0.5594975	0.72265637	-0.030881524	-0.061515257	-0.4953928	0.33564174	0.331457	0.84920025	-0.6284147	-0.22482562	0.03316155	0.40747008	-0.43285263	-0.071367145	0.020043617	-0.58376974	-0.015176609	0.07656329	-0.021526322	0.04164271	-0.7084975	0.9372164	0.29142484	0.0665299	-0.77068985	1.3551748	-0.05708149	-0.17692746	0.12049393	0.45787224	-0.06014494	0.25345019	0.3771573	-0.3306559	0.07111031	0.15110445	-0.77695864	-1.1065238	-1.0462528	0.30409348	-0.15898919	-0.37424976	0.67607605	0.30416527	-0.054031324	-0.07870075	0.6827826	-0.26151353	0.026250154
in	0.46716645	-0.39254284	0.62010044	-0.052659336	-0.20932043	-0.44328228	0.4818715	0.21701801	0.8875631	-0.70673597	-0.23378956	0.15353969	0.620165	-0.7450609	-0.25681558	0.08421698	-0.73128426	0.023327433	-0.07179468	-0.08051725	0.21036813	-0.40784845	0.93092084	0.27200997	0.12246128	-0.95259994	1.1072268	-0.13194385	-0.3461848	0.29704213	0.49513415	0.08315711	0.1923582	0.39694223	-0.3497704	-0.026120428	0.091941684	-0.6920038	-1.2883147	-1.1000185	-0.016308095	-0.30399173	-0.17398155	0.60120016	0.32907465	-0.04741488	0.016412042	0.7334014	-0.6311035	-0.072987765
was	0.39481997	-0.47762275	0.7200398	0.10260846	-0.05502054	-0.48012558	0.3133168	0.3351241	0.81443465	-0.66982853	-0.3440441	0.37660682	0.5309011	-0.48237145	-0.04513541	0.116905004	-0.828694	-0.05316423	0.022714023	-0.23791626	0.34151998	-0.52183926	0.7497623	0.19609097	0.1507932	-0.8957264	1.1737127	-0.13023841	-0.25506282	0.27154064	0.36775628	0.16156338	0.24887753	0.3193051	-0.2634346	0.114035256	0.0015581399	-0.76383007	-1.0296614	-1.017339	0.09034912	-0.26669204	-0.22095177	0.618412	0.32667562	-0.04504399	-0.09300089	0.6333544	-0.5489147	0.015461413
that	0.49355233	-0.39013803	0.73297167	0.060415365	-0.22350097	-0.5317955	0.31911322	0.3199779	0.7440412	-0.58032906	-0.21145247	0.2267948	0.50773406	-0.5043614	0.028932007	0.03595102	-0.84619737	-0.18362176	0.11039712	-0.20119348	0.23736244	-0.47043157	0.669415	0.28803533	-0.005519177	-0.7876755	1.244879	-0.13810904	-0.35391453	0.06679807	0.41323626	-0.055674784	0.12423689	0.41097844	-0.32613876	0.04599831	0.057698417	-0.8018227	-1.0878985	-1.0730274	0.26907727	-0.24414568	-0.23568016	0.6804114	0.2975729	-0.0439679	-0.068115756	0.65168905	-0.6023398	-0.008802808
as	0.5695457	-0.47163576	0.5791432	0.033213183	0.12212375	-0.27570823	0.35579583	0.06696038	0.84032375	-0.5856059	-0.18451595	0.03683573	0.24676178	-0.3115946	0.06192373	0.21969105	-0.7978246	0.07219971	0.08137141	-0.0483118	0.28845692	-0.5174994	0.5236589	0.13970049	-0.020438999	-0.91255736	1.3707874	-0.023785837	-0.25171858	0.30884793	0.4211533	0.04374943	0.18842542	0.406544	-0.21605396	0.075047895	-0.010188498	-0.7321594	-1.0586871	-0.98852026	0.022091188	-0.26570165	-0.24204841	0.7675048	0.33094606	-0.024156488	0.03981226	0.5250752	-0.48759368	0.07166676
her	0.39328933	-0.4284128	0.6239498	-0.036677513	0.15504491	-0.3175124	0.3721276	0.15443265	0.7417702	-0.6843331	-0.13910171	0.43018824	0.52584577	-0.7158426	0.009243017	0.1884493	-0.89793235	0.09546646	-0.11084292	-0.16674429	0.37381288	-0.46320787	0.6754487	0.1225387	0.09922867	-0.7797917	1.1267214	-0.25043052	-0.46340704	0.2579352	0.40569007	0.04901522	0.010726653	0.19780463	-0.36474168	-0.09285331	-0.04962561	-0.57931596	-1.243737	-1.0486988	0.069220684	-0.42755115	-0.15149094	0.6463152	0.24774787	-0.015939333	-0.2568624	0.49247098	-0.4354384	0.25281692
